dim,name,rmse,mae
0,dim_0,2.6973660902894294,2.1748823922098177
1,dim_1,6.032472472917206,5.563322086959052
2,dim_2,5.016830863420989,4.318555100864905
3,dim_3,3.523695152198634,3.1355870749237895
4,dim_4,4.113331606649876,3.731813637465797
5,dim_5,2.66166595134221,2.2343221712980084
6,dim_6,4.517783724926749,3.3091141320319317
7,dim_7,3.0782891772364263,2.551833377482745
8,dim_8,5.637518981331536,5.3414865030942185
9,dim_9,2.838184744320584,2.3283279807244277
10,dim_10,3.0488019923395138,2.375506475588744
11,dim_11,1.8528289148099633,1.5902123426580796
12,dim_12,4.109465274221467,3.3968806445658175
13,dim_13,3.244984654975568,2.6642994922836323
14,dim_14,3.697699051201774,3.3157055834646925
15,dim_15,2.340495898487977,1.887005382080141
16,dim_16,3.152374446160388,2.6547806516202024
17,dim_17,2.796786612536689,2.58582975757407
18,dim_18,3.8653562632021683,3.4667994104641986
19,dim_19,9.033426261732897,8.61002240413546
20,dim_20,6.294152308083041,5.720413561394618
21,dim_21,2.409130914073417,1.8085410348989335
22,dim_22,2.3671478736388143,1.9340059620540366
23,dim_23,6.084287658227752,5.5095940236227205
24,dim_24,5.57131584460982,4.524020302262212
25,dim_25,4.055387822617804,3.13589545282209
26,dim_26,2.9602530130609552,2.6349801109013757
27,dim_27,4.389817615940339,3.8118286823966683
28,dim_28,2.635005277996865,2.400685524509086
29,dim_29,7.738064002966499,7.176116858896667
30,dim_30,2.6486674124822067,2.3469975126926945
31,dim_31,1.9754195297779529,1.7553325294785427
32,dim_32,1.5254315445393558,1.3437064359190853
33,dim_33,2.4979188186415437,2.2404460546669083
34,dim_34,2.768724042537913,2.2578094144636345
35,dim_35,2.554574950240568,2.2319422834248064
36,dim_36,1.6571824057206896,1.377304099833248
37,dim_37,2.546164333372495,2.1741616159899473
38,dim_38,1.8762496740382222,1.548387073996627
39,dim_39,3.066809352999475,2.383331460392734
40,dim_40,6.834677608246613,6.006550738369262
41,dim_41,4.568664767502852,3.9432124277217353
42,dim_42,3.0204421663506182,2.5341115848233473
43,dim_43,3.5167143573413737,2.7192299500151194
44,dim_44,5.309430903442539,4.628070015957114
45,dim_45,8.993742498585473,8.184212825979532
46,dim_46,4.869524289088245,4.351917630320319
47,dim_47,4.368414401115528,3.241096897588927
48,dim_48,4.480796715410392,3.4813035991881285
49,dim_49,1.4421433508614023,1.268318597184437
50,dim_50,4.7437492519899545,3.9554076810557794
51,dim_51,2.4743744426386343,1.999757148592503
52,dim_52,3.8760569440015487,3.3385608627568986
53,dim_53,4.690809367500901,4.103991464980227
54,dim_54,4.122516282168494,3.511736870476033
55,dim_55,3.2143854854127403,2.5811534185809983
56,dim_56,3.309407723473025,2.8882367155882025
57,dim_57,4.796960790136247,4.198209585896139
58,dim_58,3.068910152590422,2.584868100484735
59,dim_59,3.711361601982186,3.117253851317104
60,dim_60,3.776124145534945,3.4620011727734123
61,dim_61,5.228766246664186,4.3067190651231275
62,dim_62,5.807586258472539,5.471209267799176
63,dim_63,3.459075806273038,2.8541553017602905
64,dim_64,2.857615044264246,2.3255965404529797
65,dim_65,4.9109885456366955,4.220876503110612
66,dim_66,3.1952779929518917,2.384543892805826
67,dim_67,2.874033233597926,2.293807588509909
68,dim_68,4.381094560386788,3.8699747050061943
69,dim_69,4.035585912851258,3.529295712995359
70,dim_70,3.3771516679042084,2.73376915435447
71,dim_71,3.379307203258044,2.736868037349096
72,dim_72,3.7491828314295397,3.2711239240716155
73,dim_73,7.084288484426253,6.793638346543685
74,dim_74,2.765418378942006,2.5159507889113826
75,dim_75,2.7219271647002397,2.2839015439737778
76,dim_76,3.679844226212047,3.043822336651133
77,dim_77,1.7319105897516467,1.4806371636343498
78,dim_78,2.107627589105845,1.5010687095559714
79,dim_79,2.178776257827157,1.782726698835777
80,dim_80,2.9294233535674934,2.337807962286671
81,dim_81,1.851684787642536,1.643143451631675
82,dim_82,4.133146717739703,3.810918523322555
83,dim_83,1.3934463100290466,1.0523787219439715
84,dim_84,3.8580707880829155,2.88971744664983
85,dim_85,4.304988523202172,3.908530812517681
86,dim_86,7.734011366225609,6.67147787601793
87,dim_87,4.302689806520575,3.3021704962565392
88,dim_88,4.192660005867509,3.668272131290035
89,dim_89,3.35699726293151,2.703565509767906
90,dim_90,4.471252692599544,3.625624256362869
91,dim_91,2.5336209198707222,2.1869763826596573
92,dim_92,4.209235957541927,3.8088978017413253
93,dim_93,4.249696560976654,3.877210439749144
94,dim_94,6.071634339522603,5.865442985277541
95,dim_95,0.9388401680839902,0.781496244039247
96,dim_96,6.017529783971096,5.3928007071139366
97,dim_97,4.565572641889784,4.326053283868612
98,dim_98,2.248557740639919,1.732874668834242
99,dim_99,1.3438382089927674,1.0724679001564752
