dim,name,rmse,mae
0,001001,12.548187738364646,12.548187738364646
1,001002,,
2,001003,14.405114236411464,14.405114236411464
3,001004,6.254404006411164,6.254404006411164
4,001005,3.2618863410842778,3.2618863410842778
5,001006,5.539621461400628,5.539621461400628
6,001007,0.06659613907481798,0.06659613907481798
7,001008,24.805300872737547,24.805300872737547
8,001009,3.63053389621291,3.63053389621291
9,001010,8.477372346736615,8.477372346736615
10,001011,24.729619100774897,24.729619100774897
11,001012,2.783584935758597,2.783584935758597
12,001013,19.616235036131798,19.616235036131798
13,001014,,
14,001015,9.946344298044266,9.946344298044266
15,001016,15.33215464210943,15.33215464210943
16,001017,,
17,001018,2.29633541069515,2.29633541069515
18,001019,14.536432569602937,14.536432569602937
19,001020,10.986389438640117,10.986389438640117
20,001021,6.178391569329335,6.178391569329335
21,001022,7.345164172803038,7.345164172803038
22,001023,30.492823340504344,30.492823340504344
23,001024,5.333433932410799,5.333433932410799
24,001025,3.9728417244855336,3.9728417244855336
25,001026,,
26,001027,26.474860299696843,26.474860299696843
27,001028,5.319875642293027,5.319875642293027
28,001029,48.27737066555687,48.27737066555687
29,001030,15.39345345747148,15.39345345747148
30,001031,4.402660293307292,4.402660293307292
31,001032,2.197149137530289,2.197149137530289
32,001033,10.488978355087028,10.488978355087028
33,001034,79.72009243680407,79.72009243680407
34,001035,,
35,001036,7.029614620701608,7.029614620701608
