dim,name,rmse,mae
0,001001,7.183519160274557,5.977499358993235
1,001002,15.013032722504718,10.382901893556955
2,001003,11.590882096270283,9.011774114989148
3,001004,6.947964920916752,5.679608609869001
4,001005,15.405786788666639,11.44127756949429
5,001006,9.548054776489078,6.928620542653046
6,001007,8.740549652411083,6.775472128952015
7,001008,10.440967777969373,7.527135629819228
8,001009,10.515488845563427,7.111852076491733
9,001010,15.5285837394955,9.71036504896065
10,001011,11.960990848180337,8.513305400253104
11,001012,6.812232918318239,5.316175595970412
12,001013,15.646719859921278,11.154179975452548
13,001014,,
14,001015,11.976724418629951,7.9143865603500485
15,001016,8.9712962702101,6.475688288917355
16,001017,13.094281351879374,10.622840425802172
17,001018,14.836842138379554,11.590702125675044
18,001019,21.53423929390327,17.88486659219471
19,001020,14.83289870397774,11.933236973666851
20,001021,15.706586331043018,9.496813853274702
21,001022,14.524474971626516,10.153325074510501
22,001023,14.074733714638816,11.880804720845942
23,001024,13.328519674920383,11.483603623925049
24,001025,13.012692447922888,6.4330654247101915
25,001026,,
26,001027,8.914979727164734,7.620631923366939
27,001028,11.70586691105217,9.512277316957231
28,001029,18.867204777881412,14.473509652637906
29,001030,12.876032567638752,10.728735273048889
30,001031,15.528880921069677,11.16415319214073
31,001032,10.386221905376827,8.357106955585236
32,001033,17.45918608129503,12.952670634165434
33,001034,24.11967605325127,17.93063561320756
34,001035,,
35,001036,11.935059879264953,8.101621476588281
