dim,name,rmse,mae
0,dim_0,8.520811502451801,6.258211786225482
1,dim_1,10.391270333784497,8.03874275409881
2,dim_2,11.86574281264952,8.829636387873904
3,dim_3,7.366965712463854,5.483830717264076
4,dim_4,9.442345089189148,6.493767914950638
5,dim_5,10.180435325506659,7.358230401003441
6,dim_6,10.709811359476975,6.523681984917393
7,dim_7,13.064461504910925,8.398401513672072
8,dim_8,7.078337747124093,5.332340023812023
9,dim_9,5.658062928002026,4.194654887832045
10,dim_10,7.105920943273818,5.340543823976235
11,dim_11,10.07024836850441,6.906141310872632
12,dim_12,5.825360172974294,4.382045800591953
13,dim_13,7.2899767222287455,5.494780380638339
14,dim_14,10.695463733823653,7.39084196777379
