dim,name,rmse,mae
0,dim_0,7.875979169645973,5.112207610427717
1,dim_1,8.932856271237402,6.317330446764747
2,dim_2,4.524491388915816,2.872401139425798
3,dim_3,4.0657970877812035,2.7113329411313942
4,dim_4,5.707086361339627,3.717573655944689
5,dim_5,3.7872619819186477,2.433372341001202
6,dim_6,7.335265084416079,4.559986324362427
7,dim_7,8.688207794468454,5.789375271816662
8,dim_8,7.632079487275253,5.399546815991881
9,dim_9,2.9142461212883553,2.319241956636181
10,dim_10,3.8725230951327645,3.107747918932346
11,dim_11,4.754230389002126,4.043817746506773
12,dim_12,3.3044567148232242,2.4361557256898734
13,dim_13,3.9253172358114687,2.928346528906782
14,dim_14,5.165345090026385,4.182653390300937
