dim,name,rmse,mae
0,dim_0,82851183393.9017,19973894427.659374
1,dim_1,33324956710.25614,10509988451.466702
2,dim_2,208444150440.3855,43416433602.59587
3,dim_3,19793873312.279964,5267048531.510331
4,dim_4,36112034367.59527,8599678950.749119
5,dim_5,175165404981.11407,45989565230.22595
6,dim_6,24655299683.926323,7597158602.700659
7,dim_7,43102182153.54074,11685212716.574003
8,dim_8,83483978921.10416,20997285708.1614
9,dim_9,48186308394.58143,12486640012.115454
10,dim_10,29145386604.172558,9447108694.634052
11,dim_11,168529053480.23523,41165804073.22129
12,dim_12,103396460912.4776,22970444375.434196
13,dim_13,22555371070.147667,6058649268.284765
14,dim_14,86016339843.60204,16454752927.360065
