dim,name,rmse,mae
0,dim_0,4.381571047046826,2.8115307766115736
1,dim_1,6.138372466329969,4.022447354188329
2,dim_2,8.03580002049715,6.005136767603474
3,dim_3,4.111365388651868,3.456624499199786
4,dim_4,6.935981922850176,5.335142512736091
5,dim_5,10.504616513799233,6.449964155660432
6,dim_6,5.991366623006815,4.483832068267676
7,dim_7,9.09552781153536,7.446533275565953
8,dim_8,12.779627169408727,8.06248547339032
9,dim_9,3.4741214767989397,2.8901705418828363
10,dim_10,3.772804871912034,3.006630580524264
11,dim_11,5.9906376553868474,4.145116226510212
12,dim_12,4.753047555645561,3.4302132914242365
13,dim_13,9.21119685146347,7.059661546508212
14,dim_14,9.034336369965375,7.087752217624484
