dim,name,rmse,mae
0,dim_0,1.1945298131222848,0.9372049466234038
1,dim_1,6.659770173100066,5.592593640347849
2,dim_2,2.5145231004151976,1.6950866130736912
3,dim_3,2.8116323826727885,2.5861074455132975
4,dim_4,3.217417345681195,2.5247012609110238
5,dim_5,1.2881774932585315,1.0961075907680118
6,dim_6,4.791788013305089,4.236859436169075
7,dim_7,2.9354577498394154,2.4899090396276993
8,dim_8,5.3420085072596075,4.5527543123479814
9,dim_9,8.344709735128415,7.478046505534119
10,dim_10,1.8222068166703698,1.55942988047236
11,dim_11,1.9808793184137408,1.6188610937807038
12,dim_12,1.553479220960395,1.1175155753969646
13,dim_13,1.622345011902986,1.3788272924536034
14,dim_14,1.521626377365289,1.2877702253087715
15,dim_15,1.933819155629603,1.731641992117499
16,dim_16,2.9160909566328392,2.292636865374262
17,dim_17,2.3978347389996832,1.8708838642737948
18,dim_18,1.2040826863915848,0.9039170830525155
19,dim_19,2.5973146315790543,1.6935769476628715
20,dim_20,3.763862248616378,2.850991807198143
21,dim_21,2.1711438593355847,1.8657092173864815
22,dim_22,3.513564856067838,2.9660253944953157
23,dim_23,3.762696564861925,3.2634176776178405
24,dim_24,2.3776941681428774,2.1264422481630723
25,dim_25,1.809436782587009,1.5971524525113896
26,dim_26,3.3003371006802786,2.7446748818656754
27,dim_27,4.347468091874781,3.8087145083296994
28,dim_28,3.7079742251002643,3.0252670324330144
29,dim_29,7.259872917145556,6.250037310397277
30,dim_30,9.308103702069173,8.433397047700874
31,dim_31,1.7131431260377759,1.3975134152260487
32,dim_32,1.9006313004879567,1.4596137452801627
33,dim_33,2.8012180771222774,2.599091686746051
34,dim_34,1.1832992584706747,0.941596516622934
35,dim_35,3.4578670255228894,3.0696831648879934
36,dim_36,1.9657043644511119,1.3806396839623034
37,dim_37,1.6711008805005119,1.3728939318032205
38,dim_38,3.7964399729342464,3.3844355954143444
39,dim_39,1.4033925819069346,1.2567715154583996
40,dim_40,5.689474893347964,4.557924268838939
41,dim_41,3.5678989910679895,2.6882180315677267
42,dim_42,2.4836436623268994,2.112287374264591
43,dim_43,1.7868235355674844,1.4745903100471245
44,dim_44,0.8129783680069678,0.7149995761797622
45,dim_45,1.937529376014339,1.5393113254862079
46,dim_46,2.4099747573047425,1.855281489891595
47,dim_47,5.668967407610934,5.365087660131719
48,dim_48,3.2715958761620665,2.9332067079127153
49,dim_49,2.5077982455208447,2.2016582302173413
50,dim_50,4.096152687195967,3.2303148913015987
51,dim_51,2.645328701840763,1.7152534510209052
52,dim_52,3.3670099273240583,2.7102600781365065
53,dim_53,4.235271241368709,3.5628363520375457
54,dim_54,3.2516501597645897,2.4601868444760426
55,dim_55,4.682365261277412,3.900301621877033
56,dim_56,3.150317651016168,2.525867157403657
57,dim_57,3.5109891172169636,3.0812474499486457
58,dim_58,1.5890697407794825,1.3949722868394212
59,dim_59,3.9412587093853713,3.5551547714414142
60,dim_60,6.01139263336587,5.080428309357821
61,dim_61,2.4069066155719763,1.7777007812086794
62,dim_62,1.8324529831700402,1.5236016697119132
63,dim_63,2.840215566661064,2.060473817663934
64,dim_64,1.7938877764085004,1.6115978602134138
65,dim_65,1.4477655831780094,0.9901092591383209
66,dim_66,3.724633111535363,3.2260843703663085
67,dim_67,2.387600938221023,2.027950369307779
68,dim_68,4.716821068771534,3.791697711663069
69,dim_69,3.793364400161117,3.378981790984393
70,dim_70,1.6139422117438835,1.3397207007064003
71,dim_71,4.118049419251755,3.166163137168261
72,dim_72,2.819384895754911,2.1857441733444607
73,dim_73,2.7529343676073785,2.27290736527964
74,dim_74,4.3669258287227155,3.5992401738666318
75,dim_75,3.0351057263192267,2.5474149782034177
76,dim_76,3.523973802590438,2.9769684455724255
77,dim_77,5.9888811938145174,5.562552999717953
78,dim_78,3.636750879372465,3.091341890641149
79,dim_79,5.673713770915379,4.727644474527701
80,dim_80,2.1444851178044924,1.8630582597594116
81,dim_81,4.450227130903835,3.9456904748565966
82,dim_82,1.527455859255765,1.3389110200811278
83,dim_83,1.4156276789295972,1.2149693906826164
84,dim_84,1.8348992747064834,1.2759008619582382
85,dim_85,1.7762106611346806,1.4925337685212772
86,dim_86,4.524866781203279,4.0245711214671696
87,dim_87,5.507518087757766,4.699732647039328
88,dim_88,1.8270989193820917,1.6170700260651665
89,dim_89,3.451109835206234,2.411585540145803
90,dim_90,1.5504797528478214,1.3341537711485518
91,dim_91,4.387886529557008,3.9249634423394264
92,dim_92,6.3167463175792316,5.54354604773904
93,dim_93,2.5121358604199604,2.2113469505918824
94,dim_94,4.07982588353546,3.534019255123907
95,dim_95,1.33704638410995,1.0776402607315594
96,dim_96,2.576553115145532,2.2126375541258847
97,dim_97,2.116881788688178,1.786520609324008
98,dim_98,2.5444458672345442,1.9338042242316127
99,dim_99,0.8797109764226668,0.6975875923764152
