dim,name,rmse,mae
0,001001,10.00958391394868,7.635253913489039
1,001002,16.75168790358296,9.761904761904763
2,001003,15.37323228495397,13.661691742502422
3,001004,7.596600116718882,6.041666666666667
4,001005,21.5991622412493,13.19047619047619
5,001006,8.04673846971554,5.833333333333333
6,001007,11.669047376142863,8.083333333333334
7,001008,9.137833441248533,8.045454545454545
8,001009,12.921235751015974,7.708333333333333
9,001010,17.08191050985418,10.625
10,001011,12.707409683706794,8.782608695652174
11,001012,8.273726213414694,6.636363636363637
12,001013,14.906653995224191,7.958333333333333
13,001014,,
14,001015,13.487648670790126,8.166666666666666
15,001016,9.17423929634859,5.666666666666667
16,001017,13.995129022757753,9.5
17,001018,17.18647724229721,11.958333333333334
18,001019,15.879756505270056,12.416666666666666
19,001020,11.736694594305503,9.416666666666666
20,001021,16.352879461020517,10.25
21,001022,16.283938917432312,11.583333333333334
22,001023,10.099504938362077,8.166666666666666
23,001024,12.294985427671993,9.5
24,001025,19.017535767461215,7.285714285714286
25,001026,,
26,001027,10.169398540064535,8.5
27,001028,8.626225403146057,7.235294117647059
28,001029,18.14754345175493,14.416666666666666
29,001030,12.11748048619569,8.916666666666666
30,001031,12.468293120284482,8.791666666666666
31,001032,10.321902279457342,7.875
32,001033,15.186760026336675,10.237042916666667
33,001034,22.300971578236975,15.75
34,001035,,
35,001036,12.972727803614267,9.375
